Id,Balance,Amount,Currency,Type,Status,Modified,Trade Id,Instrument Symbol,Instrument Name,Commission,Account type
"918174102","0","0.01","USD","NEGATIVE_BALANCE_PROTECTION","PROCESSED","2022-12-24 13:33:40","","","","","CFD"
"918174099","-0.01","-0.01","USD","TRADE","PROCESSED","2022-12-24 13:33:29","0061241d-0001-54c4-0000-4b9600008172_0061241d-0001-54c4-0000-000080612f9d","XRP/USD","Ripple / USD","","CFD"
"918174098","0","-0.01","USD","TRADE","PROCESSED","2022-12-24 13:33:29","0061241d-0001-54c4-0000-4b960000816f_0061241d-0001-54c4-0000-000080612fa3","XRP/USD","Ripple / USD","","CFD"
"913764998","0.01","0","USD","TRADE","PROCESSED","2022-12-19 19:25:13","0010709d-0001-54c4-0000-4b910039e26e_0010709d-0001-54c4-0000-00008041059e","DGB/USD","DigiByte / USD","","CFD"
"913764978","0.01","0","USD","TRADE","PROCESSED","2022-12-19 19:25:10","0010709d-0001-54c4-0000-4b910039e039_0010709d-0001-54c4-0000-0000804105a1","DGB/USD","DigiByte / USD","","CFD"
"913764888","0.01","0","USD","TRADE","PROCESSED","2022-12-19 19:24:55","0010709d-0001-54c4-0000-4b910039dc16_0010709d-0001-54c4-0000-0000804105a7","DGB/USD","DigiByte / USD","","CFD"
"913764886","0.01","0","USD","TRADE","PROCESSED","2022-12-19 19:24:55","0010709d-0001-54c4-0000-4b910039dc15_0010709d-0001-54c4-0000-0000804105a4","DGB/USD","DigiByte / USD","","CFD"
"913731306","0.01","0","USD","TRADE","PROCESSED","2022-12-19 17:30:15","0010709d-0001-54c4-0000-4b9100315c72_0010709d-0001-54c4-0000-0000804103e0","DGB/USD","DigiByte / USD","","CFD"
"913731304","0.01","0","USD","TRADE","PROCESSED","2022-12-19 17:30:15","0010709d-0001-54c4-0000-4b9100315c6c_0010709d-0001-54c4-0000-0000804103e3","DGB/USD","DigiByte / USD","","CFD"
"913731227","0.01","0","USD","TRADE","PROCESSED","2022-12-19 17:30:03","0010709d-0001-54c4-0000-4b91003154b3_0010709d-0001-54c4-0000-0000804103dd","DGB/USD","DigiByte / USD","","CFD"
"913498703","0.01","0","USD","TRADE","PROCESSED","2022-12-19 04:25:11","0010709d-0001-54c4-0000-4b91000cf9a2_0010709d-0001-54c4-0000-0000804103d8","DGB/USD","DigiByte / USD","","CFD"
"913498700","0.01","0","USD","TRADE","PROCESSED","2022-12-19 04:25:02","0010709d-0001-54c4-0000-4b91000cf843_0010709d-0001-54c4-0000-0000804103d8","DGB/USD","DigiByte / USD","","CFD"
"913498699","0.01","0","USD","TRADE","PROCESSED","2022-12-19 04:25:02","0010709d-0001-54c4-0000-4b91000cf842_0010709d-0001-54c4-0000-0000804103d5","DGB/USD","DigiByte / USD","","CFD"
"913498695","0.01","0","USD","TRADE","PROCESSED","2022-12-19 04:24:48","0010709d-0001-54c4-0000-4b91000cf68d_0010709d-0001-54c4-0000-0000804103ca","DGB/USD","DigiByte / USD","","CFD"
"913498625","0.01","0","USD","TRADE","PROCESSED","2022-12-19 04:24:11","0010709d-0001-54c4-0000-4b91000cef4b_0010709d-0001-54c4-0000-0000804103c7","DGB/USD","DigiByte / USD","","CFD"
"913498624","0.01","0","USD","TRADE","PROCESSED","2022-12-19 04:24:11","0010709d-0001-54c4-0000-4b91000cef4a_0010709d-0001-54c4-0000-0000804103c4","DGB/USD","DigiByte / USD","","CFD"
"913498623","0.01","0","USD","TRADE","PROCESSED","2022-12-19 04:24:11","0010709d-0001-54c4-0000-4b91000cef49_0010709d-0001-54c4-0000-0000804103c1","DGB/USD","DigiByte / USD","","CFD"
"913498622","0.01","0","USD","TRADE","PROCESSED","2022-12-19 04:24:10","0010709d-0001-54c4-0000-4b91000cef48_0010709d-0001-54c4-0000-0000804103be","DGB/USD","DigiByte / USD","","CFD"
"912866389","0.01","-0.16","USD","TRANSFER","PROCESSED","2022-12-18 18:34:29","","","","","CFD"
"912866313","0.17","0","USD","TRADE","PROCESSED","2022-12-18 18:31:07","0004405d-0009-40dd-0000-4b900003de6c_0004405d-0009-40dd-0000-0000802800f7","ADA/BTC","Cardano / Bitcoin","","CFD"
"912866305","0.17","0","USD","TRADE","PROCESSED","2022-12-18 18:30:42","0004405d-0009-40dd-0000-4b900003dde3_0004405d-0009-40dd-0000-0000802800f0","ADA/BTC","Cardano / Bitcoin","","CFD"
"912866299","0.17","0","USD","TRADE","PROCESSED","2022-12-18 18:30:39","0004405d-0009-40dd-0000-4b900003ddcf_0004405d-0009-40dd-0000-0000802800ed","ADA/BTC","Cardano / Bitcoin","","CFD"
